"doc_index","content_type","style_name","text","level","num_id"
1,"paragraph",NA,"",NA,NA
2,"paragraph",NA,"Machine generated time-coded transcript of oral submissions to Justice Committee on Treaty Principles Bill – Morning session",NA,NA
3,"paragraph",NA,"",NA,NA
4,"paragraph",NA,"Original video at https://vimeo.com/showcase/10758261/video/1049910462, and is just under four and a half hours long. ",NA,NA
5,"paragraph",NA,"",NA,NA
6,"paragraph",NA,"27 January 2025",NA,NA
7,"paragraph",NA,"",NA,NA
8,"paragraph",NA,"",NA,NA
9,"paragraph",NA,"00:00-00:02",NA,NA
10,"paragraph",NA,"We are live.",NA,NA
11,"paragraph",NA,"",NA,NA
12,"paragraph",NA,"",NA,NA
13,"paragraph",NA,"00:03-00:05",NA,NA
14,"paragraph",NA,"So good morning.",NA,NA
15,"paragraph",NA,"",NA,NA
16,"paragraph",NA,"",NA,NA
17,"paragraph",NA,"00:05-00:06",NA,NA
18,"paragraph",NA,"Just as a bit of a preamble,",NA,NA
19,"paragraph",NA,"",NA,NA
20,"paragraph",NA,"",NA,NA
21,"paragraph",NA,"00:07-00:09",NA,NA
22,"paragraph",NA,"welcome everyone to the Justice Committee's public hearings",NA,NA
23,"paragraph",NA,"",NA,NA
24,"paragraph",NA,"",NA,NA
25,"paragraph",NA,"00:09-00:12",NA,NA
26,"paragraph",NA,"on the principles of the Treaty of Waitangi Bill.",NA,NA
27,"paragraph",NA,"",NA,NA
28,"paragraph",NA,"",NA,NA
29,"paragraph",NA,"00:12-00:14",NA,NA
30,"paragraph",NA,"Before we begin with the Minister in charge,",NA,NA
31,"paragraph",NA,"",NA,NA
32,"paragraph",NA,"",NA,NA
33,"paragraph",NA,"00:14-00:16",NA,NA
34,"paragraph",NA,"I'll run through just a short piece of housekeeping.",NA,NA
35,"paragraph",NA,"",NA,NA
36,"paragraph",NA,"",NA,NA
37,"paragraph",NA,"00:16-00:17",NA,NA
38,"paragraph",NA,"The schedule is very tight,",NA,NA
39,"paragraph",NA,"",NA,NA
40,"paragraph",NA,"",NA,NA
41,"paragraph",NA,"00:18-00:22",NA,NA
42,"paragraph",NA,"so we'll be sticking strictly to the timing for submissions,",NA,NA
43,"paragraph",NA,"",NA,NA
44,"paragraph",NA,"",NA,NA
45,"paragraph",NA,"00:23-00:24",NA,NA
46,"paragraph",NA,"and that includes the on-screen timer",NA,NA
47,"paragraph",NA,"",NA,NA
